objectid,parentid,filename,description,title,youtubeid,format,creator,date,date-is-approximate?,item-information,subject,location,latitude,longitude,rights,type,language
DavinLoh001,DavinLoh015,loh01.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh002,DavinLoh015,loh03.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh003,DavinLoh015,loh04.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh004,DavinLoh015,loh05.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh005,DavinLoh015,loh06.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh006,DavinLoh015,loh08.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh007,DavinLoh015,loh09.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh008,DavinLoh015,loh10.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh009,DavinLoh015,loh11.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh010,DavinLoh015,loh12.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh011,DavinLoh015,loh14.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh012,DavinLoh015,loh15.JPG,These photos show Zack Klima and Sunny Yang having an interview with Davin Loh. ,Group 6 Pics,,image/JPG,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/5/2014,Yes,"single page, photograph",Interview,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
DavinLoh013,DavinLoh015,,A Youtube video with Doc Mack interviewing Davin Loh and his experiences at the Galloping Ghost Arcade.,GGA-Gamer Profile: Davin Loh,3SokHbjqfIQ,video/mpeg,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/18/2013,Yes,youtube video,Davin Loh,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Video,English
DavinLoh014,DavinLoh015,Davin_Loh_Interv.mp3,"Davin Loh gets asked a lot about pinballs within the interview, but he is more into arcade systems. Davin is a well known player at the Galloping Ghost arcade, hitting high scores and beating world records. Davin Loh is known within the community to be the best at a handful of games at the arcade, but the biggest one is ""Capcom vs SNK 2"". A fighting arcade game that puts two players against each other and fights with a 48 character roster, but it's not the multiplayer part he is known for. Davin focuses more on the single player mode, it pins the player to do countless battles against CPUs and then gets awarded points for a score and the more the player wins the higher the points, but the harder the fights become. He brings alot of attention to the arcade when he is attempting to break a record or high score, he has been such a positive player to have at the Galloping Ghost arcade.",Interview with Davin Loh,,audio/MP3,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",11/4/2014,Yes,Interview,Davin Loh,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Audio; Interview,English
DavinLoh015,,,This is a collection of Davin Loh,Davin Loh Collection,,compound_object,"Kilma, Zachary Ma, Yunlong Odutayo, Olufunlola Yang, Sunny",,,Collection,Davin Loh,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Record,English
GallopingGhost01,GallopingGhost23,Portrait_1.jpg,"Photo of Doc Mack, the owner of the Galloping Ghost arcade.",Doc Mack,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Doc Mack,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost02,GallopingGhost23,Portrait_3.jpg,Photo of Doc Mack on the floor next to some arcade machines.,Doc Mack,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Doc Mack,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost03,GallopingGhost23,Arcades 1.JPG,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost04,GallopingGhost23,Arcades 2.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost05,GallopingGhost23,Arcades 3.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost06,GallopingGhost23,Arcades 4.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost07,GallopingGhost23,Arcades 5.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost08,GallopingGhost23,Arcades 6.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost09,GallopingGhost23,Arcades 7.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost10,GallopingGhost23,Arcades 8.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost11,GallopingGhost23,Arcades 9.JPG,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost12,GallopingGhost23,Arcades 10.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost13,GallopingGhost23,Arcades 11.JPG,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost14,GallopingGhost23,Arcades 12.JPG,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost16,GallopingGhost23,Arcades 14.JPG,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost17,GallopingGhost23,Arcades 15.jpg,Arcade machines collected around the world. All working and ready to be played.,Arcade Machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost18,GallopingGhost23,Exterior Images 1.jpg,The outside building and sign of the Galloping Ghost arcade.,Exterior of building,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Building,"Brookfield, IL",41.81713,-87.85578,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost19,GallopingGhost23,Main Counter 5.jpg,"The front counter of the arcade, that sells snacks and drinks.",Front Counter,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Building,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost20,GallopingGhost23,Pinballs 1.JPG,A collection of pinball machines that are hooked up and ready to play.,Galloping Ghost pinball machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Pinball Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
GallopingGhost21,GallopingGhost23,Pinballs 2.JPG,A collection of pinball machines that are hooked up and ready to play.,Galloping Ghost pinball machines,,image/JPG,"Bahena, Analy, Maciano li, Peter Sense, Braden Huff, Le Jalen Oluduro, Olumide",11/15/2014,Yes,"single page, photograph",Pinball Machines,"Brookfield, IL",,,"Attribution-NonCommercial-NoDerivs 3.0 United States
http://creativecommons.org/licenses/by-nc-nd/3.0/us/
In Copyright
http://rightsstatements.org/page/InC/1.0/",Image;Stillmage,English
